"countryid","cpi","cpi_change","gdp","grs_prm_enroll","grs_trt_enroll","life_expect","tax_rev","tax_rate"
"1","151.36","2.0","170000000000","109.9","51.4","76.7","37.2","66.1"
"2","0.0","0.0","3154057987","0.0","0.0","83.3","14.2","46.2"
"3","232.75","53.5","450000000000","109.7","90.0","76.5","10.1","106.3"
"4","129.18","1.4","13672802158","92.7","54.6","74.9","20.9","22.6"
"5","119.8","1.6","1390000000000","100.3","113.1","82.7","23.0","47.4"
"6","118.06","1.5","446000000000","103.1","85.1","81.6","25.4","51.4"
"7","0.0","0.0","11527600000","36.6","9.6","71.6","9.6","36.6"
"8","117.59","2.1","38574069149","99.4","50.5","77.2","4.2","13.8"
"11","117.11","1.4","530000000000","103.9","79.7","81.6","24.0","55.4"
"13","0.0","0.0","7127200000","36.6","9.6","79.3","9.6","36.6"
"14","167.4","3.7","1840000000000","115.4","51.3","75.7","14.2","65.1"
"15","0.0","0.0","1120000000","36.6","9.6","74.5","9.6","36.6"
"17","127.63","2.5","27089389787","107.4","13.7","69.6","17.1","23.1"
"18","116.76","1.9","1740000000000","100.9","68.9","81.9","12.8","24.5"
"19","0.0","0.0","6028373513","36.6","9.6","82.1","9.6","36.6"
"20","131.91","2.6","282000000000","101.4","88.5","80.0","18.2","34.0"
"21","125.08","2.9","19900000000000","100.2","50.6","77.0","9.4","59.2"
"22","140.95","3.5","324000000000","114.5","55.3","77.1","14.4","71.2"
"23","102.51","0.3","24564647935","99.3","75.9","80.8","24.5","22.4"
"24","116.48","2.8","246000000000","100.7","64.1","79.0","14.9","46.1"
"25","110.35","0.8","348000000000","101.3","80.6","81.0","32.4","23.8"
"26","288.57","9.2","303000000000","106.3","35.2","71.8","12.5","44.4"
"28","0.0","0.0","4850842571","39.3","17.2","57.1","17.2","39.3"
"29","112.33","1.0","269000000000","100.2","88.2","81.7","20.8","36.6"
"30","110.05","1.1","2720000000000","102.5","65.6","82.5","24.2","60.7"
"31","133.61","4.9","17743195770","98.6","63.9","73.6","21.7","9.9"
"32","112.85","1.4","3850000000000","104.0","70.2","80.9","11.5","48.8"
"33","101.87","0.2","210000000000","99.6","136.6","81.3","26.2","51.9"
"34","0.0","0.0","4143608400","46.2","14.2","81.3","14.2","46.2"
"35","0.0","0.0","369000000000","59.2","9.4","85.5","9.4","59.2"
"36","121.64","3.3","161000000000","100.8","48.5","75.8","23.0","37.9"
"38","180.44","7.7","2610000000000","113.0","28.1","69.4","11.2","49.7"
"39","151.18","3.0","1120000000000","106.4","36.3","71.5","10.2","30.1"
"40","0.0","0.0","513000000000","46.2","14.2","82.1","14.2","46.2"
"41","108.15","0.8","395000000000","104.9","63.4","82.8","23.1","25.3"
"42","110.62","0.6","2000000000000","101.9","61.9","82.9","24.3","59.1"
"43","105.48","0.5","5080000000000","98.8","63.2","84.2","11.9","46.7"
"44","182.75","5.2","180000000000","104.4","61.7","73.2","11.7","28.4"
"45","116.86","2.8","34117202555","99.4","88.1","74.7","22.9","38.1"
"46","130.02","3.0","53367042272","95.1","26.3","78.9","15.3","32.2"
"47","0.0","0.0","6552858739","104.7","35.6","83.0","0.0","0.0"
"48","115.09","1.7","71104919108","102.3","19.2","82.1","26.5","20.4"
"50","121.46","0.7","365000000000","105.3","45.1","76.0","12.0","38.7"
"51","141.54","3.6","1260000000000","105.8","40.2","75.0","13.1","55.1"
"52","0.0","0.0","7184844193","46.2","14.2","85.94","14.2","46.2"
"53","111.07","0.2","119000000000","113.9","35.9","76.5","21.9","45.8"
"54","188.73","5.6","30641380604","142.1","12.4","70.5","20.7","41.8"
"55","115.91","2.6","909000000000","104.2","85.0","81.8","23.0","41.2"
"56","114.24","1.6","207000000000","100.0","82.0","81.9","29.0","34.6"
"57","267.51","11.4","448000000000","84.7","10.2","54.3","1.5","34.8"
"58","120.27","2.2","403000000000","100.3","82.0","82.8","23.9","36.2"
"59","113.53","0.1","76983094928","103.4","38.0","77.6","2.5","27.4"
"60","129.78","2.1","227000000000","106.9","70.7","76.5","14.3","36.8"
"61","129.61","2.5","377000000000","107.5","35.5","71.1","14.0","43.1"
"62","114.11","2.2","592000000000","100.0","67.8","77.6","17.4","40.8"
"63","110.62","0.3","238000000000","106.2","63.9","81.3","22.8","39.8"
"64","115.38","-0.7","183000000000","103.8","17.9","80.1","14.7","11.3"
"65","123.78","3.8","250000000000","85.2","49.4","75.4","14.6","20.0"
"66","180.75","4.5","1700000000000","102.6","81.9","72.7","11.4","46.2"
"67","114.41","0.6","372000000000","100.6","84.8","83.1","13.1","21.0"
"68","115.34","2.7","105000000000","98.7","46.6","77.2","18.7","49.7"
"69","158.93","4.1","351000000000","100.9","22.4","63.9","27.5","29.2"
"70","115.16","0.4","2030000000000","98.1","94.3","82.6","15.6","33.2"
"71","110.96","0.7","1390000000000","102.7","88.9","83.3","14.2","47.0"
"73","110.51","1.8","531000000000","126.6","67.0","82.5","27.9","49.1"
"74","99.55","0.4","703000000000","105.2","59.6","83.6","10.1","28.8"
"75","0.0","0.0","775000000000","59.2","9.4","80.7","9.4","59.2"
"76","187.43","3.5","63177068175","94.2","4.0","65.0","11.5","43.8"
"77","113.27","0.7","544000000000","99.8","49.3","76.9","14.9","29.5"
"78","234.44","15.2","754000000000","93.2","23.9","77.4","17.9","42.3"
"79","0.0","0.0","1044778790","36.6","9.6","74.6","9.6","36.6"
"80","281.66","7.9","154000000000","99.0","82.7","71.6","20.1","45.2"
"81","114.52","-1.9","421000000000","108.4","36.8","77.8","0.1","15.9"
"82","119.62","1.7","2830000000000","101.2","60.0","81.3","25.5","30.6"
"83","117.24","7.5","21400000000000","101.8","88.2","78.5","9.6","36.6"
"84","202.92","7.9","56045912952","108.5","63.1","77.8","20.1","41.8"
"85","0.0","0.0","57921286440","104.2","10.1","71.6","14.8","31.6"
"87","163.52","2.8","262000000000","110.6","28.5","75.3","19.1","37.6"
